room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17571976,1352,67162695,Private room,,Lisbon,,Lumiar,7,4.5,2,1.0,,23.0,,Be a local in Lisbon :D,2017-06-19 02:26:18.519936,38.768396,-9.160791,0101000020E610000076FBAC32535222C04930D5CC5A624340
17022871,1352,73995113,Private room,,Lisbon,,Santa Clara,0,0.0,2,1.0,,16.0,,Room in Sunny apartment in Lisbon,2017-06-19 02:26:18.515908,38.779186,-9.161569,0101000020E61000004818062CB95222C023C0E95DBC634340
3066321,1352,15604968,Private room,,Lisbon,,Lumiar,0,0.0,2,1.0,,28.0,,Lisbon  - close to the center,2017-06-19 02:26:18.513308,38.763469,-9.158758,0101000020E6100000EDF483BA485122C04241295AB9614340
19208787,1352,47933270,Private room,,Lisbon,,Lumiar,0,0.0,1,1.0,,20.0,,Quarto 1 pessoa Lumiar,2017-06-19 02:26:18.510795,38.782147,-9.164214,0101000020E610000037177FDB135422C00FD594641D644340
13229310,1352,46788850,Private room,,Lisbon,,Lumiar,4,4.5,1,1.0,,21.0,,Cool Double bed - Ensuite,2017-06-19 02:26:18.506339,38.764122,-9.156365,0101000020E6100000637AC2120F5022C0BA13ECBFCE614340
17497786,1352,118577140,Private room,,Lisbon,,Lumiar,0,0.0,2,1.0,,29.0,,Sunny room with private room and balcony,2017-06-19 02:26:18.502836,38.774274,-9.153101,0101000020E610000044F81741634E22C0511212691B634340
14308787,1352,87448836,Private room,,Lisbon,,Lumiar,0,0.0,2,1.0,,35.0,,"Convenient Room - (Subway, Airport, Buses)",2017-06-19 02:26:18.500698,38.764521,-9.161016,0101000020E6100000F6436CB0705222C0780DFAD2DB614340
13414781,1352,76418897,Private room,,Lisbon,,Lumiar,1,0.0,1,1.0,,18.0,,Double bed single room.,2017-06-19 02:26:18.494927,38.764256,-9.154371,0101000020E6100000D1E638B7094F22C0CAE2FE23D3614340
9588383,1352,49629987,Private room,,Lisbon,,Lumiar,22,4.5,2,1.0,,22.0,,Cozy room in quiet neighborhood,2017-06-19 02:26:18.488647,38.768295,-9.169366,0101000020E6100000D21BEE23B75622C01557957D57624340
7912123,1352,41720170,Private room,,Lisbon,,Lumiar,20,5.0,2,1.0,,30.0,,Sunny room with balcony - near airport and subway,2017-06-19 02:26:17.340422,38.773308,-9.155193,0101000020E6100000E222F774754F22C01ADEACC1FB624340
13651916,1352,78782310,Private room,,Lisbon,,Santa Clara,2,0.0,1,1.0,,20.0,,Single room in a big apartment in Lumiar,2017-06-19 02:26:17.337121,38.781019,-9.158398,0101000020E6100000ED80EB8A195122C0FE463B6EF8634340
13724230,1352,80237753,Private room,,Lisbon,,Lumiar,0,0.0,2,1.0,,29.0,,Perto do Aeroporto/ Quinta das Conchas,2017-06-19 02:26:17.331746,38.772825,-9.152805,0101000020E6100000A054FB743C4E22C0FE43FAEDEB624340
13837311,1352,39832910,Private room,,Lisbon,,Lumiar,19,5.0,4,1.0,,23.0,,Lisbon room,2017-06-19 02:26:17.318001,38.766659,-9.156179,0101000020E6100000DBA4A2B1F64F22C08F17D2E121624340
18007897,1352,23826365,Private room,,Lisbon,,Olivais,0,0.0,1,1.0,,35.0,,Lisbon Airport Hostel - Alentejo Bedroom,2017-06-19 02:26:15.094368,38.763742,-9.115169,0101000020E6100000AB06616EF73A22C0734A404CC2614340
14449298,1352,14695024,Private room,,Lisbon,,Parque das Nações,19,5.0,2,1.0,,36.0,,LX ORIENTE LOFT - BOUTIQUE ROOM (TOTTALY NEW),2017-06-19 02:26:13.012552,38.770545,-9.103643,0101000020E61000002DEBFEB1103522C0548CF337A1624340
17765127,1352,60590471,Private room,,Lisbon,,Parque das Nações,0,0.0,2,1.0,,15.0,,Studio Completo e Aconchegante.,2017-06-19 02:26:12.989498,38.790646,-9.098253,0101000020E6100000C0779B374E3222C04B5B5CE333654340
18007734,1352,23826365,Private room,,Lisbon,,Olivais,0,0.0,1,1.0,,35.0,,Lisbon Airport Hostel - Minho Bedroom,2017-06-19 02:26:11.802150,38.764892,-9.113372,0101000020E6100000719010E50B3A22C06C7C26FBE7614340
9025140,1352,47005828,Private room,,Lisbon,,Olivais,19,4.5,4,2.0,,40.0,,Quarto Casal (Suite)/Double bedroom (Suite),2017-06-19 02:26:11.793235,38.762799,-9.114645,0101000020E6100000C24CDBBFB23A22C0F435CB65A3614340
19280492,1352,135010255,Private room,,Lisbon,,Olivais,0,0.0,6,2.0,,40.0,,"Expo , 5minutos centro de lisboa",2017-06-19 02:26:11.790990,38.76465,-9.116598,0101000020E6100000DA8EA9BBB23B22C076711B0DE0614340
18997328,1352,25080169,Private room,,Lisbon,,Parque das Nações,0,0.0,1,1.0,,18.0,,Clean and comfy,2017-06-19 02:26:11.788733,38.774993,-9.100336,0101000020E610000011397D3D5F3322C081D07AF832634340
18134866,1352,55381390,Private room,,Lisbon,,Olivais,4,5.0,2,1.0,,40.0,,Charming Room near MEO Arena,2017-06-19 02:26:11.786513,38.76402,-9.111822,0101000020E610000056F2B1BB403922C0B6BE4868CB614340
15661768,1352,88633722,Private room,,Lisbon,,Parque das Nações,12,5.0,2,1.0,,23.0,,Private room near Airport and Parque das Nações.,2017-06-19 02:26:11.777652,38.773966,-9.104833,0101000020E61000004815C5ABAC3522C0A41B615111634340
