Name,Active,Gender,Membership,Universe,IntroYear,Appearances,TotalDeaths,TotalReturns
"Dorrek VIII/Theodore ""Teddy"" Altman",YES,MALE,Full,Earth-616,2005,110,0,0
Cassie Lang,NO,FEMALE,Full,Earth-616,2005,160,1,1
"Katherine ""Kate"" Bishop",YES,FEMALE,Full,Earth-616,2005,132,0,0
"Thomas ""Tommy"" Shepherd",YES,MALE,Full,Earth-616,2006,59,0,0
Daniel Thomas Rand K'ai,NO,MALE,Full,Earth-616,2007,629,0,0
Doctor Stephen Vincent Strange,NO,MALE,Full,Earth-616,2007,1324,0,0
Ares,NO,MALE,Full,Earth-616,2007,236,2,1
James Buchanan Barnes,NO,MALE,Full,Earth-616,2008,663,0,0
Jessica Miriam Drew,YES,FEMALE,Full,Earth-616,2008,525,0,0
Jessica Jones,YES,FEMALE,Full,Earth-616,2010,205,0,0
Amadeus Cho,NO,MALE,Full,Earth-616,2009,108,0,0
Maria Hill,YES,FEMALE,Full,Earth-616,2010,359,0,0
Robbie Baldwin,NO,MALE,Full,Earth-616,2010,299,0,0
Sharon Carter,NO,FEMALE,Full,Earth-616,2010,333,1,1
Eric O'Grady,NO,MALE,Full,Earth-616,2010,88,1,0
Brunnhilde,NO,FEMALE,Full,Earth-616,2010,369,0,0
Richard Rider,NO,MALE,Full,Earth-616,2010,380,1,0
Brian Braddock,NO,MALE,Full,Earth-616,2010,545,0,0
Dennis Sykes,NO,MALE,Full,Earth-616,2010,6,1,0
Noh-Varr,YES,MALE,Full,Earth-616,2010,126,0,0
Thaddeus Ross,NO,MALE,Full,Earth-616,2011,417,1,1
John Aman,YES,MALE,Full,Earth-616,2010,31,0,0
Shang-Chi,YES,MALE,Full,Earth-616,2011,310,0,0
James Santini,YES,MALE,Academy,Earth-616,1900,40,0,0
Emery Schaub,YES,MALE,Academy,Earth-616,1900,26,0,0
Jeanne Foucault,YES,FEMALE,Academy,Earth-616,2010,63,0,0
Jennifer Takeda,YES,FEMALE,Academy,Earth-616,2010,73,0,0
Yvette,YES,FEMALE,Academy,Earth-616,1900,22,0,0
Julie Power,YES,FEMALE,Academy,Earth-616,1900,153,0,0
Alani Ryan,YES,FEMALE,Academy,Earth-616,1900,73,0,0
Ken Mack,NO,MALE,Academy,Earth-616,2010,59,1,0
Humberto Lopez,YES,MALE,Academy,Earth-616,2010,66,1,0
Johnny Gallo,YES,MALE,Academy,Earth-616,1900,43,0,0
Lyra,YES,FEMALE,Academy,Earth-8009,1900,55,0,0
Anya Corazon,YES,FEMALE,Academy,Earth-616,1900,108,0,0
Brandon Sharpe,YES,MALE,Academy,Earth-616,2010,64,0,0
Kevin Masterson,YES,MALE,Academy,Earth-616,1900,62,0,0
Michiko Musashi,YES,FEMALE,Academy,Earth-616,1900,94,0,0
Taki Matsuya,YES,MALE,Academy,Earth-616,1900,18,0,0
Daisy Johnson,NO,FEMALE,Full,Earth-616,2012,81,0,0
Ororo Munroe,NO,FEMALE,Full,Earth-616,2012,1598,0,0
Matt Murdock,NO,MALE,Full,Earth-616,2011,1375,0,0
Flash Thompson,YES,MALE,Honorary,Earth-616,2012,746,0,0
Otto Octavius,NO,MALE,Full,Earth-616,2013,561,1,0
Alex Summers,YES,MALE,Full,Earth-616,2012,592,0,0
Samuel Guthrie,YES,MALE,Full,Earth-616,2013,679,0,0
Roberto da Costa,YES,MALE,Full,Earth-616,2013,491,0,0
Eden Fesi,YES,MALE,Full,Earth-616,2013,65,0,0
Izzy Kane,YES,FEMALE,Full,Earth-616,2013,44,0,0
Marcus Milton,YES,MALE,Full,Earth-13034,2013,65,1,0
Shiro Yoshida,YES,MALE,Full,Earth-616,2013,176,1,1
Adam,YES,MALE,Full,Earth-616,2013,35,1,0
Kevin Kale Connor,YES,MALE,Full,Earth-616,2013,44,1,0
Sam Alexander,YES,MALE,Honorary,Earth-616,2015,78,0,0
America Chavez,YES,FEMALE,Full,Earth-616,2013,22,0,0
David Alleyne,YES,MALE,Full,Earth-616,2013,115,0,0
"Nicholas Fury, Jr., Marcus Johnson",YES,MALE,Full,Earth-616,2013,77,0,0
Phillip Coulson,YES,MALE,Full,Earth-616,2013,69,0,0
Tony Masters,NO,MALE,Full,Earth-616,2013,173,0,0
Victor Mancha,YES,MALE,Full,Earth-616,2013,75,1,1
Monica Chang,YES,FEMALE,Full,Earth-616,2013,12,0,0
Alexis,YES,FEMALE,Full,Earth-616,2013,13,0,0
Eric Brooks,YES,MALE,Full,Earth-616,2013,198,0,0
Adam Brashear,YES,MALE,Full,Earth-616,2014,29,0,0
Victor Alvarez,YES,MALE,Full,Earth-616,2014,45,0,0
Ava Ayala,YES,FEMALE,Full,Earth-616,2014,49,0,0
Kaluu,YES,MALE,Full,Earth-616,2015,35,0,0
